Fecha (UTC) 	Latitud [º] 	Longitud [º] 	Profundidad [km] 	Magnitud [*]
2018-07-02 02:45:32 	-37.75 	-72.74 	40 	4.3
2018-01-21 14:42:53 	-36.07 	-73.29 	32 	4.2
2019-09-26 16:36:17 	-40.83 	-72.29 	140 	6
2019-09-05 05:41:29 	-36.09 	-73.99 	20 	5
2018-01-21 18:04:17 	-35.98 	-73.46 	19 	4.7
2018-07-02 16:21:30 	-36.8 	-73.6 	28 	4.3
2019-01-28 09:00:47 	-35.62 	-72.97 	28 	5
2018-02-25 19:58:50 	-37.72 	-73.03 	45 	4.5
2019-03-21 20:34:35 	-36.19 	-72.7 	67 	4.4
2018-07-05 17:41:18 	-36.47 	-73.24 	11 	4
2019-02-07 18:42:17 	-37.24 	-72.78 	56 	4.3
2018-02-08 21:19:24 	-37.45 	-74.22 	32 	5.1
2018-10-26 15:50:11 	-35.64 	-73.1 	33 	4.5
2018-07-03 04:28:45 	-37.55 	-73 	25 	4.4
2019-09-29 15:57:53 	-35.47 	-73.18 	31 	6.6
2018-08-03 14:45:41 	-37.53 	-73.83 	26 	4.1
2016-06-12 17:07:53 	-37.86 	-73.65 	35 	4.5
2017-09-21 07:12:41 	-37.93 	-73.95 	43 	4.7
2016-05-10 21:55:37 	-37.95 	-74.38 	28 	4.8
2016-11-21 00:09:49 	-37.43 	-73.9 	42 	4.9
2017-02-19 07:10:41 	-37.53 	-74.05 	35 	4.4
2018-02-01 00:12:57 	-37.54 	-73.96 	26 	5.1
2015-06-20 02:10:04 	-36.24 	-73.97 	23 	6
2017-09-19 18:14:43 	-37.22 	-74.26 	26 	4.9
2017-02-20 06:17:35 	-37.59 	-73.63 	43 	4
2017-12-06 18:22:26 	-37.43 	-74.35 	22 	4.3
2017-02-19 15:49:20 	-37.47 	-74.05 	38 	4.3
2017-03-30 09:06:20 	-37.07 	-74.21 	19 	4.7
2016-05-28 03:29:59 	-37.52 	-74.03 	36 	4.2
2017-01-14 06:59:13 	-37.56 	-73.61 	37 	4.3
2017-05-03 07:12:22 	-37.74 	-73.9 	15 	4
2017-02-01 11:54:32 	-37.34 	-73.66 	45 	4.4
2017-02-19 22:10:21 	-37.59 	-73.73 	32 	4
2017-09-26 12:14:48 	-37.44 	-74.14 	32 	4.7
2018-01-26 13:27:06 	-37.49 	-74.26 	22 	5.1
2017-02-01 11:23:26 	-37.31 	-73.44 	60 	4.9
2017-12-06 08:30:37 	-37.49 	-74.62 	35 	4.7
2016-10-14 10:58:10 	-37.53 	-73.86 	50 	5
2017-02-19 09:37:24 	-37.55 	-73.95 	40 	4.8
2017-09-16 17:12:10 	-37.21 	-74.32 	27 	4.8
2017-02-19 07:06:55 	-37.52 	-74.01 	39 	4.7
2018-01-26 15:26:24 	-37.58 	-73.93 	21 	4.8
2017-02-19 21:06:15 	-37.44 	-74.18 	24 	4.5
2017-02-20 13:29:55 	-37.55 	-73.74 	44 	4.2
2019-10-21 09:36:23 	-38.95 	-72.85 	60 	5
2018-05-22 04:12:45 	-41.38 	-73.75 	50 	4.1
2015-12-10 00:17:06 	-35.83 	-73.74 	20 	4
2018-10-16 23:53:17 	-42.09 	-72.85 	88 	4.1
2019-01-18 12:34:09 	-40.57 	-73.05 	51 	4
2016-02-09 21:54:59 	-36.83 	-73.77 	26 	4.3
2018-09-19 11:28:08 	-39.8 	-72.99 	65 	4.4
2018-08-07 20:10:36 	-38.3 	-73.65 	54 	4.1
2019-05-22 04:23:12 	-40.48 	-72.94 	46 	4.8
2019-02-28 18:17:06 	-42.75 	-74.32 	39 	4.5
2019-08-24 23:36:35 	-43.24 	-74.18 	36 	4.8
2017-12-08 09:28:45 	-40.34 	-72.59 	81 	4
2019-06-08 13:44:09 	-39.37 	-72.39 	84 	4.4
2019-06-24 04:42:43 	-38.67 	-73.18 	35 	4.4
2020-04-16 15:13:07 	-37.96 	-73.7 	28 	5
2020-11-05 08:19:48 	-40.57 	-73.3 	41 	3.9
2021-04-10 07:52:48 	-37.95 	-73.72 	39 	5.3
2019-05-11 17:05:24 	-41.98 	-74.21 	46 	4.2
2020-01-19 07:33:42 	-41.73 	-74.17 	39 	4.6
2020-05-21 03:43:19 	-41.75 	-74.06 	40 	3.9
2019-01-14 13:01:52 	-41.6 	-73.21 	70 	3.6
2020-09-29 16:16:15 	-41.72 	-73.98 	36 	3.5
2019-03-26 19:17:42 	-42.63 	-74.2 	35 	4
2021-05-05 06:41:15 	-41.81 	-73.74 	38 	3.3
2020-03-21 22:20:12 	-42.92 	-74.14 	39 	4.2
2020-03-07 10:28:56 	-42.88 	-74.3 	22 	4.4
2019-07-21 04:11:07 	-41.73 	-74.11 	41 	3.1
2019-11-14 19:46:25 	-43.18 	-74.34 	20 	3.8
2021-05-05 07:48:53 	-41.78 	-73.92 	36 	3.1
2012-03-25 22:37:06 	-35.2 	-72.22 	41 	6.8
2012-08-30 08:04:38 	-37.24 	-73.86 	40 	5.2
2013-09-29 23:06:59 	-37.47 	-73.75 	49 	5.2
2013-09-29 23:23:15 	-37.47 	-73.88 	42 	5.5
2014-10-08 08:27:59 	-36.0 	-72.14 	30 	4.3
2014-11-22 06:27:39 	-40.77 	-73.13 	64 	4
2014-09-28 08:46:33 	-35.62 	-73.21 	10 	5.4
2014-09-19 10:22:55 	-35.66 	-73.06 	35 	4.8
2014-11-04 11:44:51 	-41.23 	-73.83 	25 	4.9
2014-12-09 20:37:11 	-36.96 	-72.76 	36 	4.1
2015-03-18 18:27:24 	-36.1 	-74.14 	23 	6.3
2015-12-10 00:09:24 	-35.91 	-73.56 	14 	5.3
2015-12-24 10:42:18 	-35.45 	-72.99 	36 	4.7
2015-03-12 09:50:43 	-36.17 	-73.09 	14 	4.6
2015-07-17 11:11:22 	-35.52 	-73.35 	37 	5.3
2015-04-13 03:00:10 	-40.25 	-73.68 	42 	4.7
2015-04-07 11:32:09 	-36.17 	-72.16 	63 	4.6
2015-11-01 01:28:39 	-38.82 	-73.42 	50 	5.1
2015-02-28 03:45:32 	-36.88 	-72.99 	35 	5.1
2015-10-25 04:02:41 	-41.93 	-73.55 	53 	4.5
2015-10-03 06:03:43 	-37.56 	-73.74 	20 	6.1
2015-10-18 12:48:43 	-35.97 	-72.67 	50 	5
2016-01-07 15:40:43 	-41.72 	-74.15 	41 	5.3
2016-01-08 12:12:36 	-41.71 	-74.12 	42 	4.5
2016-12-27 14:07:23 	-43.5 	-74.3 	23 	4.9
2016-11-08 07:13:09 	-36.65 	-73.57 	10 	4.7
2016-01-16 11:30:18 	-41.73 	-73.99 	45 	4
2016-01-10 04:36:38 	-36.4 	-72.73 	39 	4.9
