Fecha (UTC) 	Latitud [º] 	Longitud [º] 	Profundidad [km] 	Magnitud [*] 
2019-08-28 12:43:44 	-23.13 	-69.23 	108 	5.2
2019-08-14 21:33:12 	-20.74 	-70.11 	30 	4.2
2019-01-31 19:49:50 	-20.46 	-69.0 	102 	4
2018-10-02 12:11:42 	-20.28 	-69.3 	89 	4.1
2019-04-24 18:57:33 	-21.49 	-68.52 	137 	5.3
2019-09-26 20:31:29 	-29.88 	-71.31 	46 	5.4
2018-12-21 01:38:33 	-21.05 	-68.94 	103 	4.6
2018-10-22 22:25:41 	-20.55 	-69.09 	100 	4.1
2019-09-30 11:53:23 	-22.19 	-68.82 	116 	5.6
2019-03-14 19:27:04 	-20.27 	-69.15 	114 	4.1
2019-06-02 03:21:17 	-23.67 	-69.36 	86 	4.5
2019-03-22 18:14:56 	-22.9 	-68.75 	106 	4.3
2019-05-06 15:47:49 	-22.79 	-69.15 	114 	4.9
2019-01-17 13:58:58 	-22.19 	-68.86 	95 	4.2
2018-08-22 23:15:35 	-23.41 	-69.55 	70 	4.2
2018-10-17 11:46:55 	-23.39 	-69.81 	48 	4.4
2019-03-24 04:48:18 	-22.79 	-68.86 	105 	4.4
2018-10-18 23:42:08 	-22.62 	-68.62 	116 	4.8
2018-12-31 17:26:01 	-22.19 	-68.72 	114 	4.5
2018-06-03 20:48:28 	-23.51 	-69.25 	107 	4.4
2018-12-13 23:01:39 	-23.2 	-69.26 	86 	4.1
2019-02-05 00:55:51 	-23.0 	-69.36 	87 	4.4
2018-11-10 07:53:37 	-24.07 	-69.05 	115 	4.7
2019-03-21 16:57:53 	-22.71 	-68.61 	110 	4.4
2019-06-10 05:27:23 	-22.33 	-68.67 	103 	4.6
2018-09-17 16:29:18 	-22.77 	-68.89 	100 	4.2
2019-04-19 12:43:27 	-22.91 	-69.02 	90 	4.2
2018-12-31 07:54:55 	-23.13 	-69.12 	89 	4.1
2019-02-09 23:40:54 	-22.83 	-68.72 	110 	4.6
2019-10-06 10:40:55 	-21.9 	-68.61 	114 	5.7
2019-11-29 11:06:05 	-21.34 	-68.93 	121 	5.1
2019-11-04 13:03:40 	-21.39 	-70.44 	42 	4.9
2019-11-07 19:13:40 	-20.48 	-69.05 	108 	4.4
2019-09-21 00:36:07 	-22.11 	-68.61 	125 	4.6
2019-09-12 14:08:18 	-22.13 	-68.64 	114 	4.6
2019-11-05 11:20:44 	-20.18 	-69.2 	91 	4
2019-12-26 09:28:59 	-21.05 	-70.39 	53 	4.2
2019-08-12 08:17:50 	-20.71 	-69.22 	107 	4.9
2019-10-29 20:32:08 	-21.25 	-68.87 	119 	4.5
2019-09-08 20:40:18 	-20.32 	-70.03 	74 	4.4
2019-08-28 15:53:03 	-20.56 	-70.36 	32 	4.9
2019-12-18 08:11:05 	-20.25 	-69.16 	95 	5.2
2019-11-27 13:41:31 	-20.35 	-70.41 	43 	4.3
2020-01-12 11:20:30 	-20.86 	-70.17 	53 	4.9
2020-01-13 08:12:39 	-26.24 	-70.61 	56 	5
2020-01-08 08:47:46 	-20.43 	-68.93 	116 	5.2
2020-02-18 21:41:40 	-20.75 	-69.32 	87 	4.7
2020-02-25 00:49:43 	-22.96 	-69.44 	85 	4.6
2020-02-13 17:08:39 	-29.68 	-71.43 	67 	5
2017-02-01 08:49:03 	-20.43 	-69.14 	96 	4
2020-02-27 01:36:59 	-29.52 	-71.06 	74 	5
2020-02-16 22:05:45 	-21.91 	-68.73 	130 	5.4
2020-02-08 06:17:58 	-20.84 	-68.7 	110 	5.2
2020-02-13 22:23:32 	-22.71 	-69.09 	85 	4.5
2019-02-12 02:10:23 	-20.27 	-69.93 	53 	3.3
2019-02-18 21:16:01 	-23.3 	-70.87 	49 	3.7
2019-04-03 14:34:00 	-20.84 	-69.98 	72 	3.8
2019-08-20 17:04:46 	-23.37 	-69.62 	67 	4.4
2018-09-10 18:14:05 	-20.13 	-70.02 	54 	3.7
2019-12-04 05:37:01 	-22.54 	-69.19 	81 	4.1
2019-06-15 00:46:06 	-20.12 	-69.22 	91 	3.9
2018-09-13 21:18:03 	-20.82 	-69.44 	90 	3.8
2020-02-17 11:16:16 	-22.59 	-69.9 	42 	3.8
2019-04-16 06:50:56 	-20.13 	-70.12 	45 	3.3
2020-02-11 13:50:03 	-24.77 	-70.76 	55 	5.1
2019-07-12 07:24:39 	-20.77 	-70.42 	28 	4.7
2019-08-07 17:01:05 	-20.5 	-68.91 	102 	4.1
2019-12-27 18:50:44 	-23.1 	-69.71 	117 	4.4
2020-01-14 01:57:30 	-21.73 	-68.48 	124 	5.1
2020-03-06 05:50:34 	-21.29 	-69.88 	53 	4.6
2020-01-29 17:31:08 	-21.56 	-69.62 	48 	3.5
2019-10-29 08:15:43 	-23.13 	-70.67 	37 	4.8
2019-10-17 06:35:04 	-23.7 	-68.99 	92 	4.3
2020-03-17 00:39:25 	-20.14 	-69.23 	94 	4.1
2019-09-27 11:21:23 	-23.17 	-69.11 	111 	4.8
2019-07-31 19:54:26 	-20.07 	-69.76 	73 	3.8
2020-03-10 13:44:21 	-22.15 	-68.11 	157 	5
2019-05-24 21:21:31 	-20.03 	-69.14 	94 	3.7
2019-09-14 17:40:35 	-25.19 	-70.67 	19 	4.2
2019-09-30 00:11:59 	-20.29 	-70.23 	42 	3.5
2019-12-03 07:29:31 	-20.88 	-70.84 	23 	5.2
2020-03-30 10:01:09 	-21.42 	-69.47 	28 	4.6
2019-04-23 17:35:10 	-22.16 	-70.44 	34 	3.9
2019-07-16 09:16:17 	-20.79 	-69.72 	58 	3.7
2020-04-04 11:01:39 	-22.07 	-70.13 	72 	3.8
2020-04-15 00:19:02 	-20.2 	-69.19 	97 	4.5
2019-08-05 22:12:20 	-25.41 	-70.72 	26 	3.8
2019-01-02 16:32:48 	-25.48 	-70.36 	52 	4.1
2020-04-01 16:30:38 	-22.73 	-70.27 	36 	4.2
2020-04-30 09:23:13 	-22.67 	-68.22 	127 	5.3
2019-08-13 11:13:42 	-25.54 	-70.87 	47 	3.8
2019-04-01 09:43:16 	-25.36 	-70.87 	55 	3.5
2019-11-04 09:19:56 	-25.87 	-70.62 	67 	4.1
2020-01-01 00:11:23 	-25.64 	-70.52 	53 	3.5
2019-12-28 17:48:38 	-25.57 	-70.72 	44 	3.5
2020-04-21 18:45:39 	-22.06 	-70.44 	31 	4
2020-04-05 16:29:35 	-20.15 	-70.09 	52 	4.4
2020-03-05 18:06:08 	-23.86 	-69.81 	65 	4.9
2019-08-11 07:41:26 	-25.05 	-70.81 	32 	3.9
2018-10-30 22:41:01 	-25.14 	-70.72 	46 	3.7
2018-11-15 23:29:49 	-25.14 	-70.71 	43 	3.5
2019-01-07 01:44:59 	-25.42 	-70.89 	26 	3.6
2019-03-30 18:33:16 	-24.0 	-70.17 	43 	4.4
2020-05-22 14:59:33 	-22.93 	-69.04 	91 	5.2
2020-05-12 23:14:36 	-20.21 	-69.2 	102 	4.5
2020-05-04 02:26:58 	-20.53 	-69.21 	95 	4.6
2020-05-08 22:42:08 	-23.16 	-68.92 	98 	5
2020-05-06 06:36:53 	-29.58 	-71.11 	68 	5.2
2020-05-29 16:32:55 	-27.58 	-69.28 	127 	5.2
2020-05-10 18:04:22 	-22.76 	-68.22 	139 	5.4
2020-11-23 18:14:37 	-27.32 	-70.66 	61 	3.4
2020-10-10 10:55:02 	-26.7 	-70.66 	55 	3.8
2020-10-13 17:16:17 	-26.16 	-71.05 	30 	4.9
2021-01-26 13:50:10 	-25.83 	-70.8 	40 	4.7
2020-10-18 16:54:06 	-27.35 	-70.84 	42 	4.4
2020-12-09 10:20:53 	-21.12 	-68.86 	118 	4.6
2021-03-21 14:33:26 	-22.03 	-70.35 	25 	3.1
2021-02-23 19:15:04 	-20.11 	-68.95 	96 	4
2021-05-11 11:23:46 	-20.15 	-69.12 	101 	3.8
2020-09-22 11:53:06 	-21.91 	-68.41 	126 	4.7
2021-02-15 22:43:07 	-20.07 	-70.26 	44 	3.4
2020-09-19 09:26:50 	-21.0 	-68.73 	129 	4.9
2020-12-20 23:36:05 	-22.66 	-68.81 	111 	4.9
2021-01-12 11:04:37 	-21.76 	-68.69 	110 	4.6
2021-02-14 21:09:54 	-21.4 	-69.78 	49 	3.9
2020-11-08 03:34:29 	-27.82 	-71.11 	28 	4.2
2020-10-22 21:07:13 	-21.36 	-69.84 	50 	4.1
2020-12-05 20:02:50 	-21.42 	-68.8 	120 	4.2
2021-04-27 11:18:52 	-20.04 	-69.31 	100 	4
2021-03-21 01:18:48 	-20.12 	-70.51 	44 	3.9
2021-04-14 05:12:01 	-20.07 	-69.88 	69 	3.6
2021-06-27 22:03:53 	-22.27 	-69.98 	65 	3.9
2020-12-05 10:04:43 	-27.55 	-71.1 	22 	3.3
2021-06-24 23:36:39 	-20.01 	-69.16 	92 	4.5
2021-05-27 13:30:52 	-27.04 	-70.73 	69 	4.3
2021-06-25 03:56:04 	-22.08 	-70.1 	43 	3.8
2021-04-24 18:14:18 	-27.53 	-71.19 	31 	4.2
2021-06-22 09:23:04 	-22.49 	-70.32 	36 	4.3
2019-12-20 08:31:55 	-26.39 	-70.44 	54 	4
2021-06-04 14:46:26 	-21.44 	-70.49 	61 	4.8
2020-09-28 15:41:59 	-29.27 	-71.25 	51 	3.8
2021-01-07 18:19:09 	-29.8 	-71.63 	33 	4.4
2021-04-30 20:06:37 	-29.06 	-71.59 	47 	4.6
2020-09-08 09:35:13 	-29.46 	-71.84 	28 	4.1
2020-10-07 05:34:22 	-29.0 	-71.14 	54 	4.8
2021-05-19 20:11:30 	-27.46 	-69.45 	109 	4.3
2021-01-30 13:16:12 	-29.44 	-71.0 	49 	4.4
2021-05-23 13:23:11 	-28.7 	-70.38 	92 	4.1
2021-07-04 01:29:15 	-28.77 	-71.59 	34 	5.8
2020-12-17 15:44:32 	-28.4 	-71.33 	30 	3.8
2021-07-09 05:05:31 	-20.34 	-68.73 	114 	5
2020-11-10 06:14:34 	-27.58 	-70.61 	51 	3.7
2021-05-14 00:40:19 	-29.68 	-71.25 	54 	3.9
2021-02-17 12:14:50 	-29.28 	-69.61 	125 	4.8
2021-07-08 20:38:33 	-28.75 	-71.53 	35 	5.4
2021-04-09 06:53:19 	-29.68 	-69.83 	130 	4.5
2021-07-10 02:28:59 	-21.38 	-69.89 	59 	4.2
2020-10-28 15:39:20 	-29.32 	-71.19 	58 	4.3
2021-06-08 07:42:24 	-29.99 	-70.72 	70 	4.9
2020-08-06 03:24:05 	-29.39 	-71.75 	46 	4.4
2021-04-04 10:08:19 	-27.41 	-70.95 	36 	3.7
2021-03-24 20:21:43 	-28.44 	-71.26 	44 	4.3
2021-07-21 16:23:56 	-21.71 	-68.71 	108 	5
2021-04-01 06:01:50 	-29.3 	-71.28 	61 	4.1
2021-03-25 05:39:23 	-28.63 	-70.54 	107 	4.5
2019-07-21 09:35:18 	-28.79 	-69.95 	110 	3.5
2021-02-01 03:56:15 	-29.71 	-71.3 	53 	4.1
2020-12-10 00:46:36 	-28.29 	-71.3 	37 	4.4
2021-05-30 07:54:19 	-28.66 	-70.44 	88 	3.6
2021-07-04 01:01:37 	-28.8 	-71.57 	25 	5.8
2021-04-04 04:17:24 	-28.98 	-71.86 	45 	4.6
2020-07-07 03:21:24 	-27.57 	-70.25 	94 	3.5
2020-12-05 22:38:43 	-28.25 	-71.31 	34 	4.4
2021-07-03 07:58:47 	-20.25 	-69.22 	85 	4.3
2020-12-06 01:06:50 	-28.28 	-71.3 	32 	4.2
2020-09-28 14:26:04 	-29.26 	-71.22 	51 	3.9
2020-09-20 20:11:55 	-28.55 	-71.26 	42 	4.1
2020-09-13 14:52:49 	-29.04 	-71.31 	44 	4.5
2020-12-19 10:38:58 	-28.75 	-72.52 	24 	4.8
2020-12-08 16:43:38 	-28.25 	-71.31 	34 	4.2
2012-03-04 16:27:20 	-21.6 	-70.06 	47 	5.3
2012-04-30 07:39:44 	-29.8 	-71.64 	43 	6
2012-04-01 07:31:36 	-23.06 	-69.32 	94 	5.2
2012-10-08 01:50:25 	-21.83 	-68.54 	121 	5.7
2012-03-19 21:52:39 	-25.0 	-69.75 	100 	5
2012-05-19 08:35:09 	-25.74 	-70.86 	84 	6.1
2012-11-16 00:38:05 	-21.51 	-69.49 	62 	5.3
2012-08-07 00:39:03 	-27.88 	-70.58 	74 	5.5
2012-08-27 00:39:55 	-23.74 	-69.42 	99 	5
2012-11-13 03:11:25 	-20.54 	-69.03 	93 	5.1
2012-11-14 19:02:03 	-29.24 	-71.23 	82 	5.7
2013-01-30 20:15:41 	-28.18 	-70.88 	52 	6.7
2013-09-24 17:08:08 	-29.83 	-71.32 	56 	4.2
2013-08-23 08:34:05 	-22.28 	-68.86 	118 	5.7
2013-03-02 11:42:02 	-22.85 	-70.38 	51 	5.1
2013-01-01 03:51:12 	-20.81 	-69.67 	59 	5.1
2013-12-04 05:39:33 	-24.58 	-69.3 	72 	5.5
2013-01-13 21:23:27 	-20.12 	-69.31 	90 	5.5
2014-04-07 17:46:33 	-20.14 	-70.37 	29 	4.7
2014-10-02 14:09:48 	-23.09 	-69.19 	82 	4.1
2014-05-28 18:14:04 	-20.25 	-70.75 	31 	4.5
2014-06-14 22:13:31 	-24.94 	-69.4 	108 	5.5
2014-04-08 05:40:48 	-20.51 	-70.65 	30 	4.6
2014-04-02 19:29:36 	-20.16 	-70.4 	36 	4.4
2014-04-04 04:34:28 	-22.16 	-70.26 	70 	5.2
2014-05-05 02:01:39 	-20.18 	-70.35 	42 	4.5
2014-04-06 16:54:34 	-20.17 	-70.37 	38 	4
2014-04-02 05:09:21 	-20.38 	-70.58 	26 	4.7
2014-06-18 23:27:17 	-20.22 	-70.9 	35 	4.3
2014-06-05 20:19:31 	-20.36 	-70.22 	37 	5
2014-05-16 17:08:32 	-23.49 	-68.86 	112 	5.5
2014-04-07 06:24:24 	-20.64 	-70.87 	36 	4.7
2014-09-18 20:04:46 	-25.48 	-70.64 	53 	4
2014-05-05 13:38:32 	-20.23 	-68.19 	172 	5.1
2014-05-04 19:21:31 	-20.04 	-70.92 	42 	4.5
2014-10-12 10:44:12 	-22.89 	-68.3 	144 	5
